Author,Followers,Likes,Post,Permalink
notgeka,,7488,"Totoo pala yung OMAD - One Miracle a Day. 

Money has been super tight kahit kaka payday lang namin. Dami ko binayaran and overdue na need na pansinin. Yesterday, nagbalak na akong mag buy ng toasted siopao bago umuwi kasi kako yun nalang idinner ko pagdating sa bahay dahil need ko tipirin remainig money ko para may pamasahe ako until next cutoff.",https://www.threads.com/t/DbU8kD6kmFI
sofia.roseonline,,7322,"Real ADHD: “I am currently ruining my own life by refusing to perform a 3-minute task that would solve 90% of my anxiety.

I am fully aware of this. I am screaming internally. I physically cannot make my body stand up and do it. And yes it’s as stupid to me as it is to you.",https://www.threads.com/t/DbvGgkcG5Su
quantunglam231,,7284,"​Cảm giác kiệt sức (burnout) không đến từ việc bạn làm quá nhiều việc.
​Nó đến từ việc bạn làm quá nhiều những việc không mang lại giá trị hoặc không thuộc về chuyên môn của bạn trong một thời gian dài.",https://www.threads.com/t/DbUapDNkfx1
underratedjoseii,,6702,"The sad thing is, while your mental health is killing you, your family will see it as laziness and pure failure.",https://www.threads.com/t/DZ4VZQjk6i7
quantunglam231,,6688,"​Đi qua một đợt burnout kinh khủng, tôi nhận ra: Không có công việc nào xứng đáng để mình phải đổi bằng một đêm mất ngủ cả. Không có.",https://www.threads.com/t/DaHjWCbGbUE
superstar_evelirion,,6526,you are smart enough to keep going.,https://www.threads.com/t/DZezoYFCIOp
chronically.char,,6039,me when someone says autism or adhd isn’t a disability,https://www.threads.com/t/Dba10FeCFIv
itsannyeongggg,,4786,"Sabi nila effective ang mga dust dito sa threads ✨✨

Money dust ✨✨
Debt free dust ✨✨
Healthy body and mind dust ✨✨

Moneyfesting ✨🧿🪬",https://www.threads.com/t/DVPxgCaD3nE
serenadeschner,,4634,"“Who cares lmao”
Sharing my 80+ lb weightloss online is proof for someone who needs it… that’s it’s possible. And these kind of posts were motivating on my journey. So idc if it’s cringe or weird. Not everything is for you. Keep scrolling.",https://www.threads.com/t/DYyNnQNFPA1
softlifeevolving,,4609,"You know what burnout looks like sometimes?
Getting irritated because someone asked you a completely reasonable question after you've already answered 47 unreasonable ones that day.",https://www.threads.com/t/Db0o9rRjKAP
rockyishmael,,4454,The Holy Spirit is protecting you from every power of witchcraft projected against you.,https://www.threads.com/t/DVqrV7JDWiJ
pamela_enterprise,,4126,"Claiming this for me and for everyone exercising their faith. 
Mortgages paid off
Car debts paid off
Student loans paid off
I will be debt free!!!",https://www.threads.com/t/Da1S4pooAok
apostlevusi,,3742,"I’ve noticed that whenever Christians get close to their breakthrough or right before their prayers are about to be answered, there is an increase in spiritual warfare, distractions & chaos in their lives. Please remind yourself that God has your back, keep praying & stay focused.",https://www.threads.com/t/DOp9k_pDcWR
natemlambo,,3222,"You read the Bible. You listen to sermons. But you don’t sit with God.

You consume Christian content.
You quote verses. You take notes.
But your soul still feels dry.

Because information is not intimacy.
And noise is not presence.

Here are 5 brutal truths about your distracted devotion:
(Save this)",https://www.threads.com/t/DI4PqDqoQCb
logoslogis,,3098,"""Jika kamu membunuh kecoa, kamu adalah pahlawan; jika kamu membunuh kupu-kupu, kamu jahat. Moral memiliki kriteria estetika.""

- Friedrich Nietzsche",https://www.threads.com/t/DbaFgs_E3p_
dailystoic,3461428,3096,"""You can also commit injustice by doing nothing."" — Marcus Aurelius",https://www.threads.com/t/CuX8OZjrWKc
stijnnoorman,,3038,"Study yourself.

Your mind. Your thoughts. Your habits. Your fears. Your desires. Your triggers. Your blind spots. Your insecurities.

Once you see them, you make the unconscious conscious.

Then you become free to choose.",https://www.threads.com/t/DcDFki7nKcR
bossdigitalwealth,,2953,"🥹🙏🏼🤍 What a beautiful surprise! $1 Million with Digital Products in just 17 weeks… WILD!

To God Be The Glory!",https://www.threads.com/t/DDEG7digJv7
naylliee,,2540,"hi, can anyone just give me an advice untuk teruskan hidup since i rasa everything is not worth it anymore? i felt burnout sm.",https://www.threads.com/t/DblnvG2krwk
aestivarium,,2440,"[CÁCH ĐẠT 8.0 IELTS WRITING TASK 1 TRONG 1 THÁNG]

Additionally, cách nhảy từ 6.5 lên 8.0 Task 1 trong 1 tháng 🥹 (bước 4)

Còn nếu bạn nào mới bắt đầu thì cũng tham khảo nha. Nếu phải học lại Writing Task 1 từ đầu thì mình sẽ đi theo lộ trình dưới đây (thread này cũng dài lắm 🥹):",https://www.threads.com/t/C-_n3AYp3L0
jeffaloo,,2339,Neurodivergent burnout comes from working on things that don't matter to you. You can spend 10 hours deep in something you care about and feel alive. Two hours on meaningless work destroys you.,https://www.threads.com/t/Dbq-ZtQlCQq
yoquierodineropodcast,,2294,"I’m less than $10K away from having $500K invested in the stock market 🥲 As a first gen Latina wealth builder who didn’t learn anything about investing until my early 30’s, this is a big deal.",https://www.threads.com/t/C-3RTp7xaAP
joeyhung_,,2076,"I hate to break it to you, but prioritising time with God, studying the word, taking captive negative thoughts, killing sin and walking the narrow path will make your intimacy with God and every part of your life better than anything else.",https://www.threads.com/t/DUlzEmSCI1j
felonwithmelons,,2022,"Maintaining sobriety from drugs and alcohol ain’t easy, but I’m doing this damn thang 💁🏻‍♀️ #onedayatatime",https://www.threads.com/t/DVlz2HBgfWu
superstar_evelirion,,1865,the goal is to impress yourself,https://www.threads.com/t/DbI0pGaCOO5
findingracey,,1850,"Hellooo thriends!!!

Anyone from here who’s into stoicism? What’s your favorite quote and whyyyyy 🍀✨",https://www.threads.com/t/DYwOrxDlGiE
fqh_ikaa,,1706,"otak kita bijak ! guysss lets look into my notes . for you yang somehow rasa lost dengan diri sendiri or ada masalah ketagihan . what is Neuroplasticity and how does your brain adapt to it ?

Neuroplasticity ialah kebolehan otak untuk adapt, belajar, dan rewire dirinya sendiri berdasarkan apa yang kita selalu buat , fikir , dan hadapi . apa yang kau ulang setiap hari akan membentuk cara kau berfikir bergerak dan bertindak . thats why your habits matter more than you think .",https://www.threads.com/t/DZGzrM_D8GA
philosophors,,1668,"“Your worst sin is that you have destroyed and betrayed yourself for nothing.”

— Fyodor Dostoevsky",https://www.threads.com/t/C_c1xGqi0oh
shortgoodquote,,1602,"Growth often feels lonely before it becomes visible. Keep building—even if no one understands the season you're in. 💯

SelfImprovement #Discipline #PersonalGrowth #Mindset #Success #Resilience",https://www.threads.com/t/Dbkq7cwIGQW
izareeei,,1567,"Lately, super obsessed ako sa self improvement at self awareness. Grabe yung shift pag naging aware ka na talaga sa sarili mong patterns. Ano yung pinakamagandang advice na natutunan niyo lately? Pa share naman, I need your wisdom guys!🫶",https://www.threads.com/t/DZe-huMFPvx
readsbypeach_,,1535,Rebecca Yarro's entire fucking comment section is like this.. authors deserve so much more. It really sucks to see a fandom so impatient & treating an author like a printing press instead of being excited there's an author that loves and interacts with the fandom,https://www.threads.com/t/DcCzfo8lOwz
latelywithnelly,,1516,A quiet morning with God can reset your entire mindset before the world even starts talking.,https://www.threads.com/t/DViuxb3ABo_
thestoicpodcast,,1434,"1 year ago, I hit rock bottom.

Mental and physical health crashed.

Life broke me.

Then I found Stoicism.

Here are the 14 truths that saved me:",https://www.threads.com/t/C_9HdityLpv
kimmoria.thomas,,1431,"Breaking News ‼️

If you smell sulfur or a foul smell in your home for no reason, pay attention. It's a sign of an evil spirit. Unexplained scents such as sulfur or stinking smells are often a sign of demonic forces. Certain demons have different ranks, for there are 4 levels of spiritual warfare, and the ones that smell like sulfur are on level 4 which is the highest level of spiritual warfare, prayer and fasting are required to cleanse your home.",https://www.threads.com/t/DUjof16kenR
imyourle_,,1426,"“woojin à, dù có nghe những lời không hay từ mọi người thì cũng hãy luôn là chính mình nhé. hãy tự tin và tiếp tục tiến về phía trước. đừng vì những lời nghi ngờ hay những điều tiêu cực mà thay đổi cá tính của em. chị sẽ mãi mãi ở phía sau ủng hộ và cổ vũ em”",https://www.threads.com/t/DbJFyxCk-xa
sheshe.xoxo,,1419,Nobody talks about being the first in the family to be chosen by God and having to break generational curses & when going through extreme spiritual warfare not having family nor friends to cover you in prayer nor understand.,https://www.threads.com/t/DMJozjXt0tS
abhishek.greatking,,1413,"The more I study Stoicism, the more I realize that it wasn’t just a philosophy. 
It was deeply spiritual. 

Here are some of my favourite stoic quotes, and their spiritual meanings. 

I get chills everytime I read these:",https://www.threads.com/t/DIgfIn5yF3M
dwayneguapo,,1395,I am a black man that’s in therapy and I’m not afraid to say it . 2 years and counting . ✊🏽,https://www.threads.com/t/DcEDJONkVxR
pherkeh,,1375,"Hannah’s prayers are remarkably similar to Zechariah’s, and it makes me wonder;

“What kind of intimacy with God allows someone to finally receive the very thing they have desperately wanted, only to place it back into His hands?”",https://www.threads.com/t/DY9mVb2l1_c
balkanwomendiaries,,1350,"A high value woman:
• Doesn't chase men
• No casual sex
• Not interested in binge drinking or too much partying
• Knows her self worth
• Embraces time for herself
• Takes care of her body and appearance
• Is conscious of what she puts in her body
• Self improvement is a priority
• Open minded and loves to learn
• Dresses up for herself and not for attention
• More love and less judgement for herself or others",https://www.threads.com/t/DBxQ1uViyey
teachmart_tw,,1300,"▓  
 真正的強者必備的 30 種高能量心態🔥
 《越早懂這 30 句，你的人生越不一樣》

1. Discipline beats motivation.
    　自律，永遠勝過一時的熱情。
2. Excuses don’t build success.
    　藉口，無法成就成功。
3. Focus on progress, not perfection.
    　專注進步，而不是完美。
4. Difficult roads lead to beautiful destinations.
    　艱難的路，往往通往最美的風景。
5. Your habits shape your future.
    　你的習慣，決定你的未來。
6. Small steps every day matter.
    　每天的一小步，都算數。",https://www.threads.com/t/DbQFPJVE-PE
brandongleaton313,,1162,"Someone said “therapy for Detroiters is just going to the Detroit River and staring at it,” and honestly, I cannot disagree. If that river could talk, the stories it would tell! That river has probably saved countless people from making some of the worst decisions of their lives and, in some cases, helped save lives in the process. Shoutout to the Detroit River for being Detroit’s unofficial emotional support system. 🌊",https://www.threads.com/t/DcCPD84ldhP
sarahoconnellshow,,1141,"If you own or love a Black-owned business, post it here.",https://www.threads.com/t/DTVVi7cgoRz
_mr.britt,,1126,If you need an answer FAST. If you’re  dealing  with heartbreak FAST. If you need a financial breakthrough FAST. If you want to get closer to God FAST. If a certain sin has you in a chokehold FAST. I’m telling you fasting works and God hears  you,https://www.threads.com/t/DBnEFNyoxO1
authorpenncole,,1071,"As someone who lived this for two years, I can tell you the impact this has on mental health is INTENSE. I know most of these commenters mean well, and RY is being very gracious about it, but I wish readers understood that being pummeled with these kinds of comments nonstop every single time we peek our heads back out of seclusion makes us want to go back into hiding and never, ever come out (or quit entirely). Having every new announcement get hundreds of comments like these is so defeating 💔",https://www.threads.com/t/DcD6jM7jMy8
cremecrown._,,1052,"Not a suicidal post. But if I ever lose my battle against depression, I just want my family and friends to know how deeply I love them, and how hard I tried to keep fighting for their sake. Fighting my own mind every single day isn’t easy. Some days, getting out of bed with such a heavy heart feels like a battle on its own. I’ve tried my best to keep going, even on the days when I felt like I had nothing left in me. I love all, but I'm tired. Tired of fighting a battle that no one else can see.",https://www.threads.com/t/DcD03WPIGKB
labajoaaron,,1018,"Today, I'm 16 months porn-free. 

But it took YEARS of relapse and trying again. 

If you're struggling with porn addiction, mindless habits, and self-loathing, this page is for you.",https://www.threads.com/t/DUo-yEvCivB
procrastinator_extraordinaire,,1001,Do you ever just sit down for a second and accidentally end your productivity for the day?,https://www.threads.com/t/Da0heTRjYsz
