Date,Time,Post,Lane,Type,Views,Likes,Replies,Reposts,Quotes,Total Engagement,Eng Rate %,Permalink,Post ID
2026-07-17,19:00,"Agreements open doors to whatever it is aligned with. Agreements with the truth of the Word will lead to an abundant life… agreements with lies will lead to bondage. These agreements must be broken off FAST no matter how small they seem or it will compound until the weight of it feels suffocating, things are delayed, falling apart - and you won’t even know why. Repent, revoke, renounce in the name of Jesus.",,TEXT_POST,92,5,0,0,0,5,5.43,https://www.threads.com/@joeyhung_/post/Da56q0fCmwn,18274233088292083
2026-07-16,19:25,"AI will decimate millions of jobs. Focus on learning these 3 skills and you will never struggle for work or cash:

1. Knowing how to get leads
2. Knowing how to turn them into sales
3. Knowing how to hear the voice of God",,TEXT_POST,141,8,5,0,0,13,9.22,https://www.threads.com/@joeyhung_/post/Da3YtoNiATC,17875551324523022
2026-07-15,19:00,Repentance cancels the plans of the enemy and turns your heart back to the Father.,,TEXT_POST,425,30,5,1,1,37,8.71,https://www.threads.com/@joeyhung_/post/Da0xHQTEvTg,17946248331039053
2026-07-14,20:00,"I’m super new to the prophetic. Out of all the gifts I never thought I’d have this. But God started opening my eyes, ears & heart a year ago. I started seeing things that didn’t make sense. A lot of it I didn’t share because I didn’t think they’d be received well. I saw things getting worse before rebuilding more beautiful - and now I’m starting to see them come to fruition one by one. I finally know I’m not crazy & it is real. Walking w God is so fun, way better than being a lukewarm Christian",,TEXT_POST,939,57,33,2,1,93,9.9,https://www.threads.com/@joeyhung_/post/DayTLqDgpSI,18464524390113100
2026-07-14,19:00,"At the start of my church’s Healing + Deliverance Conference, I heard the Lord say I am releasing a Spirit of Repentance. And the verse that came was John 10:10 → what the enemy has stolen will be restored 100 fold so we can enter into “life to the full”… and it will happen when we use repentance to to break unforgiveness, bitterness, offense, pride, hurt, trauma.

Later I find out the main theme for the event was forgiveness and repentance! So good. Restoration is coming",,TEXT_POST,306,17,9,0,0,26,8.5,https://www.threads.com/@joeyhung_/post/DayMV8ikYVU,18016444799883190
2026-07-09,19:00,"When you can look at your situation, as hopeless as it may seem, and still praise God, this a true and tested faith that pleases God.",,TEXT_POST,272,20,2,1,0,23,8.46,https://www.threads.com/@joeyhung_/post/DalUUtQgZGY,18106518212046022
2026-07-09,19:00,"God can’t fill a jar you don’t have. 
Get them ready in faith! 
The pouring is coming.",,TEXT_POST,334,21,6,1,0,28,8.38,https://www.threads.com/@joeyhung_/post/DalURzwAJ_m,18106796642045043
2026-07-08,19:00,"Sun 21st June: Church worship was 🔥 heard Lord say a “new sound is being released to usher in a new season”

Sun 28th June: Pastor announces a new season & starts a new sermon series. Also held a worship night and it was also 🔥🔥

Sun 5th July: Almost full house, lots of new people. Half the room was young kids, new generation 🙌🏻

God is moving! 

Word for the season:",,TEXT_POST,143,9,5,1,0,15,10.49,https://www.threads.com/@joeyhung_/post/DaivgRcE1Xn,18123466300737530
2026-07-07,19:11,"If you are chosen, don’t be surprised when battles come. Not every attack is because you screwed up. Some are God-ordained, giants put on your path in order that you would learn to fight, overcome and receive the wisdom that can only come from experience. This is how God trains kings so you can develop and lift up the generation after you. So don’t run away or back down - go to God and discover the lesson in the suffering.",,TEXT_POST,493,21,12,2,2,37,7.51,https://www.threads.com/@joeyhung_/post/DagL-BeiK-j,17974572905898555
2026-07-01,20:43,"When God withdraws, he isn’t abandoning you. 

He’s testing your heart in order to prepare you for a new level. 

This is the time to draw even closer and expand your faith.",,TEXT_POST,918,37,16,4,1,58,6.32,https://www.threads.com/@joeyhung_/post/DaQ50LiCDpQ,17913282879224735
2026-06-30,19:25,"July is a reset. We’re mid way through the year, if 2026 has not worked out the way you wanted, there’s an opportunity for a reset now. To reposition, refocus, realign to the Lord.

Keep your eyes fixed on him and you will not lose.",,TEXT_POST,170,12,4,1,0,17,10.0,https://www.threads.com/@joeyhung_/post/DaOMAQviO8l,18156111727469265
2026-06-24,19:00,Revival in the UK is coming.,,TEXT_POST,1964,81,23,8,0,112,5.7,https://www.threads.com/@joeyhung_/post/DZ-sWncDOGE,18102833390119675
2026-06-20,19:25,"There are aspects of God that can't be revealed until you master stillness. But Biblical stillness isn’t just emptying the mind & sitting still. Ps 46:10 says “Be still and know I am God” be still is Rapha in Hebrew. It means to let go, cease striving, lay down your weapons. It’s surrendering the fight - releasing the striving. To know is Yada = to know intimately, experientially. So when you rapha yada, you stop striving in your own strength & start perceiving what God's doing.",,TEXT_POST,274,19,3,1,1,24,8.76,https://www.threads.com/@joeyhung_/post/DZ0cJNjiB1Y,17910660498419027
2026-06-19,20:15,"Just read this and I gotta share because it’s SO good. You know how we say praise is a weapon - this is an incredible example. In 2 Chron 20, Judah is about to be invaded. They fast & seek God. He says he’s gonna deliver them, go to this place and watch. They go there SINGING and PRAISING along the way - God sets an ambush for their enemies. By the time they arrive, they look out on the huge army and realise",,TEXT_POST,750,1,8,1,2,12,1.6,https://www.threads.com/@joeyhung_/post/DZx9DnNCBbz,17884622253427663
2026-06-13,20:00,My biggest win over the last year is that I’ve stopped seeking a new life. I’ve stopped day dreaming about moving abroad. Stopped thinking the grass is greener on the other side. It no longer consumes me. Instead I’m content with the path I’m on. All I want is the life God wants for me. I will not settle for anything less. This singleness of mind is so freeing.,,TEXT_POST,2643,142,34,9,0,185,7.0,https://www.threads.com/@joeyhung_/post/DZiein5Cgx9,17941468752237985
2026-06-13,19:00,One of the best skills you can learn is to love God and desire him when you have everything you need and no problems.,,TEXT_POST,541,22,2,1,0,25,4.62,https://www.threads.com/@joeyhung_/post/DZiXpxCCiPX,18092779349225330
2026-06-12,20:00,"One of THE most encouraging things I’ve ever heard God say to me, that has fired me up and kept me strong through hard times is this:

“I cannot lose”

When you understand that God has never lost a battle and will never… and that THIS God is on your side… you have nothing to fear.

Because ALL things work for your good - no matter which way things shake out.",,TEXT_POST,311,26,5,1,1,33,10.61,https://www.threads.com/@joeyhung_/post/DZf5sAlgsQc,18013165022878634
2026-06-12,19:00,"Believers must become wise to Satan's schemes. What’s attacking you is not without cause. He wants to silence you. When opposition arises, how you handle that situation will determine if you step into what God's prepared for you. Revelation is birthed out of darkness. What you overcome, you become a teacher of so that you can free those after you. Persevere. Endure. Build courage and resilience. Master your pain and it will become a weapon against the Kingdom of Darkness",,TEXT_POST,321,27,9,2,0,38,11.84,https://www.threads.com/@joeyhung_/post/DZfy3zUjUOo,18395108767088800
2026-06-11,19:00,Every trial and tribulation you go through must work for your good. For God is the God of redemption. Beauty for ashes. Oil of joy for mourning. Garment of praise for spirit of heaviness. He will never leave you worse off. If you have not received your reward for the suffering you went through - then the work is not finished. Go to the Lord. Surrender your pain. Receive the joy that is yours.,,TEXT_POST,325,24,4,0,0,28,8.62,https://www.threads.com/@joeyhung_/post/DZdOD38ChPr,18097636484467844
2026-06-10,19:55,"In the last days, the church will carry such a powerful anointing & overflow of the spirit - we shall see miracles greater than Peter when his shadow healed the sick. We will birth creativity and innovations in the marketplace that will rival Google and Apple. Solutions to our greatest problems will be solved by spirit-led believers who receive Heaven’s blueprints. Then nations, Kings, Presidents, CEOs will flock to churches wondering how we’re doing it - and there they will meet the Living God",,TEXT_POST,535,37,12,3,0,52,9.72,https://www.threads.com/@joeyhung_/post/DZavi5cCDOh,18129417862612534
2026-06-09,20:00,I’m at the point where I’m so happy when I get a clear no from God. In fact a no makes me happier than a yes 😂 I’m too old to waste anymore time on the wrong path.,,TEXT_POST,673,50,22,3,1,76,11.29,https://www.threads.com/@joeyhung_/post/DZYLWlkkePH,18215042488329214
2026-06-09,18:47,"This is the time to raise up intercessors and prayer warriors. The kingdom needs its priests, gatekeepers, and watchman on full alert - there’s a hunger for deeper encounters with the Lord rising, but a lack of teaching and equipping in the local church. If you’re gifted in this area, pour into the next generation, we need you",,TEXT_POST,375,26,8,3,0,37,9.87,https://www.threads.com/@joeyhung_/post/DZYDAhlCMfG,17926845648124474
2026-06-02,18:39,"You become the image of what you behold. 

When I realised this I stopped being so careless with how I spent my time and what I watched. Everything is guarded now. 

I only want to behold Jesus so I can become his image. It’s crazy how much things have shifted inside me and spiritually as I did more of this.",,TEXT_POST,240,12,6,1,0,19,7.92,https://www.threads.com/@joeyhung_/post/DZGAgl4iFbN,18099565390887788
2026-06-01,20:00,"Don’t pray this prayer:

“Father, break my heart over the things that break your heart. Let me feel what you feel”

Unless you’re open to crying a lot, at random times, for reasons you won’t always understand.",,TEXT_POST,313,20,4,0,0,24,7.67,https://www.threads.com/@joeyhung_/post/DZDk9-pkrDa,18105670076288498
2026-05-31,19:00,"🔑 4 Keys to Enter God’s Presence:

→ Be still and know I am God (Ps 46:10)

→ Enter his gates with thanksgiving - (Ps 100:4)

→ Worship in spirit and truth - (Jn 4:24)

→ Set your mind on things above - (Col 3:2)

The hard part is calming the mind and being still. Once you solve that, the rest is easier.",,TEXT_POST,367,19,4,1,0,24,6.54,https://www.threads.com/@joeyhung_/post/DZA5UKIAhNh,18608978929014336
2026-05-30,20:00,"If there’s a big calling on your life, God will take you through a season of intense isolation - total removal of everything you used to rely on. It will feel like he’s abandoned you but it is the only way for you to learn 100% dependence on him and him alone. Once you pass this test you gain the character to sustain kingdom wealth & influence without breaking…. and a voice that carries authority over the powers of darkness",,TEXT_POST,2594,206,24,21,0,251,9.68,https://www.threads.com/@joeyhung_/post/DY-ba0_AaeJ,18082560365551745
2026-05-30,19:00,"Prayer is a gate through which dominion is established. When you understand that prayer is how man distills divine intelligence into earthly realities in the form of strategies, blueprints, business ideas, solutions… all that God desires to manifest on earth THROUGH man… you will pray different. For the prayers of a righteous man are POWERFUL and EFFECTIVE. You will understand why prayer is so important and cannot be neglected if you desire to see God move in your life.",,TEXT_POST,669,36,12,4,0,52,7.77,https://www.threads.com/@joeyhung_/post/DY-UfAZjGOt,18093897005587389
2026-05-29,20:00,"How to get on fire for God in 2026:

1. Offer your WHOLE body as a living sacrifice
2. Walk in strict obedience 
3. Build your spirit man (tongues, worship, abiding)
4. Love & serve as God’s vessel

The deader the person, the bigger the fire. That’s the price of anointing.",,TEXT_POST,1912,161,7,15,3,186,9.73,https://www.threads.com/@joeyhung_/post/DY72mQUgLNg,18097080356181153
2026-05-29,19:00,In our last church prayer meeting the men outnumbered the ladies for the first time (12 yrs I’ve been here). Something is shifting. The men are returning to their posts 🔥,,TEXT_POST,7821,1003,61,41,5,1110,14.19,https://www.threads.com/@joeyhung_/post/DY7vtavCs1p,18362313109227156
2026-05-28,20:00,"Coping mechanisms are demonic strongholds in your nervous system. They trigger when you feel unsafe, then fill you with endorphins so you feel safe again. The problem? That relief is temporary and the consequences slowly destroy your mind, body and soul. This is how the enemy keeps you bound. They’re so strong that when you finally manage to",,TEXT_POST,375,14,6,1,0,21,5.6,https://www.threads.com/@joeyhung_/post/DY5Ry0NDNQ-,17858685573640806
2026-05-28,19:00,"God’s number 1 method of training his children to step into all he has prepared for them is through discomfort. 

Satan’s number 1 method to keep man bound & never step into their purpose is through comfort. 

If you’re being stretched and crushed, count it all joy because your father is preparing you for greatness. While it is painful now, don’t back down for the temptation of comfort, because your elevation will surely come to pass!",,TEXT_POST,203,18,5,1,0,24,11.82,https://www.threads.com/@joeyhung_/post/DY5K_s5jBwn,18022700957666298
2026-05-27,20:00,"When the flesh is loud, the spirit is quiet. When the spirit is quiet, God feels distant. That’s why fasting and consecration is so effective. It silences the flesh so your spiritual sensitivity amplifies.

In Revelations 1:10… John was IN the spirit… and he heard God’s voice LOUD like a trumpet. 

Get in the spirit and God’s voice becomes loud and clear.",,TEXT_POST,523,43,7,6,1,57,10.9,https://www.threads.com/@joeyhung_/post/DY2tCasDkF1,17954361354134805
2026-05-27,19:00,The true flex is to be known in heaven before you’re ever known on social media.,,TEXT_POST,1896,171,19,20,0,210,11.08,https://www.threads.com/@joeyhung_/post/DY2mHZgEnPe,18108114751826909
2026-05-26,20:00,"On Pentecost Sunday I was amped up ready to receive an outpouring of his spirit but what I received was something else. During worship I can normally tap into the spirit and feel God’s presence. But this time I couldn’t - it didn’t make sense because of all days, today should be overflowing. I asked Holy Spirit what’s going on and I heard the verse “they honour me with their lips but their hearts are far from me” - it rocked me and I started",,TEXT_POST,7465,197,52,8,0,257,3.44,https://www.threads.com/@joeyhung_/post/DY0INxPE6fR,18083232713632085
2026-05-26,19:00,"He has seen your tears, healing is coming. 

“This is what the Lord, 
the God of your father David, says: 
I have heard your prayer 
and seen your tears; 
I will heal you.” 2 Kings 20:5",,TEXT_POST,415,40,9,3,0,52,12.53,https://www.threads.com/@joeyhung_/post/DY0BZoAiE9t,18088770797058354
2026-05-26,18:00,Took a long break from Threads recently but the Lord told me to get back on here 😅,,TEXT_POST,332,14,12,0,0,26,7.83,https://www.threads.com/@joeyhung_/post/DYz6eZDEyR1,17883368439580365
2026-05-25,20:59,"Is there a nice way to say ""hey I think you need deliverance"" lol

Half serious - so many are dealing with stuff that's ruining their lives, living with so much pain and suffering (physical + mental + spiritual)... holding them back from their God given destinies... delayed for years... many even aborted destinies because of their bondage. 

And the truth is they don't need to suffer so much. They don't need to live in the wilderness, never knowing who they are or what God put inside them",,TEXT_POST,306,19,16,1,0,36,11.76,https://www.threads.com/@joeyhung_/post/DYxqO-5igcf,18097415579128469
2026-05-25,20:00,"We don’t give enough praise to deliverance ministries. I went through a couple sessions even though I didn’t think I needed it and turns out, I did. A lotta junk, unresolved trauma, unforgiveness. Dealt with it and my spiritual life blew open after. If you’re struggling with addiction, bondage, repeated sin, depression - anything you can’t break that’s robbing you of John 10:10, I’d 10/10 recommend finding a good deliverance ministry and getting help",,TEXT_POST,2001,96,33,5,1,135,6.75,https://www.threads.com/@joeyhung_/post/DYxjb3gAFG3,18068121494342855
2026-05-25,19:00,There’s a verse that says the kingdom of God suffers violence and the violent take it by force. All throughout the Bible you see people taking things by force and God blesses it. Jacob stole Esau’s blessing. David ran to Goliath. Joshua took the promised land. Violence is required to advance in the kingdom. Don’t be afraid to go after what God has placed inside you.,,TEXT_POST,1010,58,17,9,0,84,8.32,https://www.threads.com/@joeyhung_/post/DYxcmkVjWYf,17857732233646042
2026-05-25,12:38,"Last December I shared this plan of the enemy. We’re almost half way through 2026 and it’s playing out. UFO, aliens, hantavirus, wars and so on

Gotta stay filled up with the spirit in this hour.",,IMAGE,233,8,0,0,0,8,3.43,https://www.threads.com/@joeyhung_/post/DYww2gkiKvd,18067511828694593
2026-05-24,20:00,A couple months ago I wrote about how I stopped hearing God and felt far from him. Let me give a quick update because things completely turned around. I’ve got a better understanding of what went wrong and how to get back into intimacy with Him - maybe this will help if you’re in a rut too →,,TEXT_POST,206,9,9,2,1,21,10.19,https://www.threads.com/@joeyhung_/post/DYu-lAikuA0,18131364349575709
2026-05-24,19:00,Happy Pentecost! Today is a great day to start praying in tongues every day. I started just over a year ago and it changed my life.,,TEXT_POST,1474,61,24,3,0,88,5.97,https://www.threads.com/@joeyhung_/post/DYu3uBGD-MP,18588479848041076
2026-05-23,20:00,"Had a great chat with a friend last night and I was sharing about all the things God delivered me from over the last 12 months. Stuff I’d been dealing with for over 10 years, greed, pride, abandonment and more. Tried breaking them off using all the worldly tactics - none of it worked. Then one by one they stopped and never came back. You don’t have to strive for your freedom. In one moment God can turn everything around",,TEXT_POST,261,24,11,1,0,36,13.79,https://www.threads.com/@joeyhung_/post/DYsZ1nxgaT6,18113199754894865
2026-05-21,20:37,"This might not make sense but trust me on this:

God’s way IS the easy way.",,TEXT_POST,331,21,6,1,0,28,8.46,https://www.threads.com/@joeyhung_/post/DYnUc8QCGaN,18044238542572720
2026-05-21,19:57,"Beliefs are safety mechanisms of the mind. If life’s beaten you up enough, you stop trusting things you can’t control. So you chase money, status, comfort, things that feel like they’re in your hands. Not because you love them more than God. But because at some point, trusting God didn’t feel safe anymore. The problem? Chasing the world will never fulfil you. It’s a lie from the pit of hell and Satan wants",,TEXT_POST,101,7,4,0,1,12,11.88,https://www.threads.com/@joeyhung_/post/DYnP7A8iBtj,17955121743071198
2026-05-20,20:00,"Every believer is called to be a priest. 

Priests pray and tend to their altars.

Altars are the meeting points between man and God.

In OT, someone had to look after the altar 24/7.

Today we have too many priests neglecting their duties and blaming God he’s far away. Pray more.",,TEXT_POST,122,10,2,2,0,14,11.48,https://www.threads.com/@joeyhung_/post/DYkrgQuifgM,18124066321568961
2026-05-20,19:00,"Chasing the world will leave you feeling alone.
Chasing God will fulfil you like nothing else.",,IMAGE,104,7,10,0,0,17,16.35,https://www.threads.com/@joeyhung_/post/DYkkozEgRn7,17952208818148725
2026-05-18,19:06,"In 2 Kings Elisha’s on his deathbed, tells the King of Israel to strike the ground with an arrow. He pounds it 3 times. Elisha expected DOUBLE, and if he did it 5-6 times it would have secured total victory. Some of ya’ll are thinking about giving up too early. Keep striking! Your victory is in reach",,TEXT_POST,396,10,4,2,0,16,4.04,https://www.threads.com/@joeyhung_/post/DYfbtE_iDvF,18090717746109219
2026-05-17,19:06,"Any peace you find from the world will not last. Perfect peace is found in the person of Jesus. This perfect peace is shalom & it means completeness, wholeness in mind/body/soul, peace from warfare. You don’t need to strive for it or beg God for it. You enter into it through your mind by focusing on him, his ways and his promises. Set your mind on things above - and shalom is the result",,TEXT_POST,197,16,10,1,0,27,13.71,https://www.threads.com/@joeyhung_/post/DYc27CJiCc3,18017242658687272
2026-05-11,20:31,"In Amos 7 God measures a wall using a plumb line. This line measures the straightness of the wall to determine if it is effective or defective. In this hour I sense God is measuring the Church to see if we align with his standard of righteousness. With so much that’s happened in the body, it’s revealing how broken our walls and our gates have become - we must rebuild what has fallen into disrepair, what we’ve neglected and what we’ve allowed to become desecrated. Rebuild your family, your",,TEXT_POST,236,11,14,2,0,27,11.44,https://www.threads.com/@joeyhung_/post/DYNj1UGCP1Z,17873888673665843
2026-04-26,20:00,"You need to do everything you can to seek out revelation for your life. If you lack revelation, you lack sight and this is why you feel lost. 

Get in the word. Tarry in His presence. And contend for it as if your life depends on it, because it does.",,TEXT_POST,230,18,10,3,0,31,13.48,https://www.threads.com/@joeyhung_/post/DXm4WrkALTl,18101481172973401
2026-04-26,19:00,"Everyone wants the fire of God on their life, few are willing to pay the price to get it. The price is total surrender of self. Your desires no longer matter, your pain doesn’t matter. If you can say Lord I don’t care what I’m going through. Your will be done. Then you’ve paid the price worthy of carrying the anointing. No sacrifice, no weight! Your heaviest trial seasons are the birthing room of your greatest promotion. But the devil will keep you focused on",,TEXT_POST,2013,143,17,22,0,182,9.04,https://www.threads.com/@joeyhung_/post/DXmxf2Ziabn,18337930249170938
2026-04-22,19:00,Felt led to release this. Your reversal is coming!,,IMAGE,228,18,15,2,0,35,15.35,https://www.threads.com/@joeyhung_/post/DXceYJMEn08,18348370813243004
2026-04-09,20:55,"Many of my deepest moments with God has been in that inbetween sleep/awake time. Too early to get out of bed. Can’t fall back asleep. 

I talk to God and it’s here I learned how to meditate in the spirit. It’s here he revealed areas of bondage and led me through deliverance. Right there, under the covers and never the same again. If you find yourself reaching for your phone in the wee hours, try to connect with God instead. I promise it’ll be worth it.",,TEXT_POST,680,49,17,1,0,67,9.85,https://www.threads.com/@joeyhung_/post/DW7NNPwiKNq,17888037387354328
2026-04-08,19:33,"Isaiah 40:31 is one of those verses I’ve prayed over for years and finally stepping into. My work cycle looked like: overwork → get depressed → cope by eating + holidays → repeat. Now I’m working a solid 8-10 hrs, many Saturdays, serving Sundays. I should be in the dumps. But I’m not. Coping mechanisms are gone. No desire to run away. Stress doesn’t register, yet I’m doing more than ever. Here’s what changed…",,IMAGE,540,30,16,0,0,46,8.52,https://www.threads.com/@joeyhung_/post/DW4e89RCNWv,18120206257723514
2026-03-19,20:00,"I told a brother in Christ to fast for direction and God came through 🙌🏻. He’s recently been laid off and was confused about what to do, every option seemed hopeless. I encouraged him to intentionally seek God in prayer + fasting. Saw him on Sunday and his face was radiant. He’d just finished 14 day fast, saw visions and God gave him clear next steps he’s already actioned. All confusion gone, replaced with joy. God will do it!",,TEXT_POST,960,86,22,2,0,110,11.46,https://www.threads.com/@joeyhung_/post/DWFCH3jkhfN,18190842412319006
2026-03-10,20:00,"“Blessed are those who hunger and thirst for righteousness, for they will be filled.” Matt 5:6",,TEXT_POST,151,13,3,0,0,16,10.6,https://www.threads.com/@joeyhung_/post/DVt3AMTiird,18114349210656882
2026-03-09,22:16,"Too many Christian’s are expecting God to bless them with big things while giving him the bare minimum. 

It doesn’t work like that

The more you give, the more you get back

But even if you give more and you don’t get back, it’s still good because He is good",,TEXT_POST,368,29,17,0,0,46,12.5,https://www.threads.com/@joeyhung_/post/DVrhvAQiEXP,17974567625840411
2026-03-08,20:27,"The most powerful habit you can adopt:

Praying over every situation and decision.",,TEXT_POST,637,53,9,3,0,65,10.2,https://www.threads.com/@joeyhung_/post/DVowd-LiE3z,18079612412075919
2026-03-07,19:00,"All week I’ve been feeling tired, aches all over, irritable, low. Been sleeping 10-12 hours and still wake up drained. Thought it was because I’ve been grinding pretty hard but it’s weird it doesn’t go away. This morning I was asking God about it. Remembered a prophet mention God will let you feel what others are feeling and this burden is meant for you to intercede. I went into prayer right there. It’s 7pm now & all the heaviness is gone!",,TEXT_POST,951,38,16,2,1,57,5.99,https://www.threads.com/@joeyhung_/post/DVmBwOMkZG1,17846322765677637
2026-03-06,20:00,"Revival won’t come by more talk, more podcasts and more sermons, but only when enough believers hunger and desperately seek the Lord in prayer.",,TEXT_POST,363,28,8,2,0,38,10.47,https://www.threads.com/@joeyhung_/post/DVjj4qcgkgI,17993462045929176
2026-03-05,21:48,"We’re starting to get some sunny days and things are warming up in the UK. I felt the shift into a new season this week. Back in the day, Spring time is when armies go to war because the conditions are good. One season David stayed behind and that’s when he fell into sin. Make sure you’re where God wants you to be in this new season - that’s where you’re protected and your blessing will follow",,TEXT_POST,275,21,8,0,0,29,10.55,https://www.threads.com/@joeyhung_/post/DVhLXnnCJpK,18002329667718407
2026-03-04,20:00,"In Psalms 23 there’s a line that says “he makes me lie down in green pastures”. I did some study and that word green in Hebrew means tender, young grass. Young grass has more protein, is more digestible & sweeter in taste. Lambs that feed on this grow faster & stronger in less time! True rest in Jesus isn’t just relaxing, it prepares you to succeed 🔥",,TEXT_POST,904,79,22,9,0,110,12.17,https://www.threads.com/@joeyhung_/post/DVeaMwVDFvZ,18393717838149321
2026-03-03,20:20,"Gideon destroyed his father’s altar to Baal and when the locals found out, they wanted to kill him. 

Imagine being so attached to your sin, you’re willing to kill anyone who exposes it instead of turning away.

But the same thing is happening today. Expose sin and people will fight you for it.",,TEXT_POST,2004,170,35,16,3,224,11.18,https://www.threads.com/@joeyhung_/post/DVb3vm1CCjn,17947047099109675
2026-03-02,21:09,"Over Dec & Jan I heard the Lord say this is a season for building. I spent all that time digging deep, laying foundations in the spirit, making Jesus the chief cornerstone. Feb came & things in the natural started accelerating. Biz plans got solidified. But I lost focus on God & got distracted. He just showed me to be careful, the enemy will try to trick me into building in my own strength like I’ve done before. I’m not falling for it again. It’s so important to be led by the spirit in this hour",,TEXT_POST,378,30,15,0,0,45,11.9,https://www.threads.com/@joeyhung_/post/DVZYlqwiIwD,18193214437346083
2026-03-02,19:48,"When you feel frustrated with your situation, things start falling apart and what used to be easy now feels like grinding your teeth, it’s not always a demonic attack. It’s likely God stirring up holy frustration to get you to move. Your old season is ending and it’s time for the new. These are the markers of transition periods and it’s time to press into God for wisdom on what to do next.",,TEXT_POST,249,16,5,0,0,21,8.43,https://www.threads.com/@joeyhung_/post/DVZPVKyCEMO,18072942506175019
2026-03-01,21:17,"I’ve been struggling to hear from God in the past month. It comes in inconsistent dribbles. Work has been crazy busy, we’re launching a new project and my focus has been locked there. This morning on way to church I was telling God I miss him and wanting clarity on what’s wrong + how to reconnect. During worship he revealed the key. I followed it and his presence came and his voice opened like a floodgate. I’ll keep testing it and will share more. (Rev 1:10 is one hint)",,TEXT_POST,370,30,14,0,0,44,11.89,https://www.threads.com/@joeyhung_/post/DVW0r8SiI9G,18075471320123457
2026-02-28,20:00,"""Peace I leave with you; my peace I give you. 
I do not give to you as the world gives. 
Do not let your hearts be troubled and do not be afraid""
John 14:27",,TEXT_POST,106,10,4,2,0,16,15.09,https://www.threads.com/@joeyhung_/post/DVUHC0EE0JR,18117488305541473
2026-02-28,18:57,"Broken people reproduce broken people.

Healed people reproduce healed people.

We need more of the second one.",,TEXT_POST,333,26,7,1,0,34,10.21,https://www.threads.com/@joeyhung_/post/DVT_4kxiKhQ,18073635683158965
